ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10508693,HZ250496,05/03/2016 11:40:00 PM,013XX S SAWYER AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1022,10,24,29,08B,1154907,1893681,2016,05/10/2016 03:56:50 PM,41.864073157,-87.706818608,"(41.864073157, -87.706818608)"
10508695,HZ250409,05/03/2016 09:40:00 PM,061XX S DREXEL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,313,3,20,42,08B,1183066,1864330,2016,05/10/2016 03:56:50 PM,41.782921527,-87.60436317,"(41.782921527, -87.60436317)"
10508697,HZ250503,05/03/2016 11:31:00 PM,053XX W CHICAGO AVE,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,False,False,1524,15,37,25,24,1140789,1904819,2016,05/10/2016 03:56:50 PM,41.894908283,-87.758371958,"(41.894908283, -87.758371958)"
10508698,HZ250424,05/03/2016 10:10:00 PM,049XX W FULTON ST,460,BATTERY,SIMPLE,SIDEWALK,False,False,1532,15,28,25,08B,1143223,1901475,2016,05/10/2016 03:56:50 PM,41.885686845,-87.749515983,"(41.885686845, -87.749515983)"
10508699,HZ250455,05/03/2016 10:00:00 PM,003XX N LOTUS AVE,820,THEFT,$500 AND UNDER,RESIDENCE,False,True,1523,15,28,25,6,1139890,1901675,2016,05/10/2016 03:56:50 PM,41.886297242,-87.761750709,"(41.886297242, -87.761750709)"
10508702,HZ250447,05/03/2016 10:35:00 PM,082XX S MARYLAND AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,False,False,631,6,8,44,04B,1183336,1850642,2016,05/10/2016 03:56:50 PM,41.745354023,-87.603798903,"(41.745354023, -87.603798903)"
10508703,HZ250489,05/03/2016 10:30:00 PM,027XX S STATE ST,460,BATTERY,SIMPLE,CHA HALLWAY/STAIRWELL/ELEVATOR,False,False,133,1,3,35,08B,1176730,1886544,2016,05/10/2016 03:56:50 PM,41.844023772,-87.626923253,"(41.844023772, -87.626923253)"
10508704,HZ250514,05/03/2016 09:30:00 PM,002XX E 46TH ST,460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,False,False,215,2,3,38,08B,1178514,1874573,2016,05/10/2016 03:56:50 PM,41.811133958,-87.62074077,"(41.811133958, -87.62074077)"
10508709,HZ250523,05/03/2016 04:00:00 PM,014XX W DEVON AVE,460,BATTERY,SIMPLE,SIDEWALK,False,False,2432,24,40,1,08B,1165696,1942616,2016,05/10/2016 03:56:50 PM,41.99813061,-87.665814038,"(41.99813061, -87.665814038)"
10508982,HZ250667,05/03/2016 10:30:00 PM,069XX S ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,735,7,17,67,08B,1166876,1858796,2016,05/10/2016 03:56:50 PM,41.768096835,-87.663878589,"(41.768096835, -87.663878589)"
